species.updated,migratory,migratory.comments,feeding.type,feeding.type.comments,broader.migration,broader.feeding.type,broader.comments
Abrornis inornata,yes,,partially,aerial and non-aerial,yes,no,
Acanthis flammea,partially,some populations are resident year-round,no,,no,no,
Accipiter cooperii,partially,some populations are resident year-round,yes,,no,yes,
Acrocephalus arundinaceus,yes,,partially,aerial and non-aerial,yes,no,
Aegithalos caudatus,no,,no,,no,no,
Aegithalos concinnus,no,,no,,no,no,
Agelaius phoeniceus,partially,some populations are resident year-round,partially,aerial and non-aerial,no,no,
Alauda arvensis,partially,some populations are resident year-round,no,,no,no,
Alle alle,partially,some populations are resident year-round,yes,flying under water,partially,yes,The population in Swalbard seems to be residents the others migrants
Ammodramus savannarum,partially,some populations are resident year-round,no,,yes,no,
Anas cyanoptera septentrionalium,partially,some populations are resident year-round,no,,yes,no,
Anas discors,yes,"although some populations are resident year-round, the resident area is very small",no,,yes,no,
Anous stolidus,no,"non-directional migration, but rather vagrancy during the non-breeding season",yes,"ocean surface feeding, can also fly under water",vagrant,yes,
Anthus berthelotii,no,,no,,no,no,
Aphrastura spinicauda,no,,no,,no,no,
Apus pallidus,yes,"although some populations are resident year-round, the resident area is very small",yes,,yes,yes,
Apus unicolor,partially,some populations are resident year-round,yes,,yes,yes,migration has been shown for Tenerife https://www.google.com/url?q=https://www.birdguides.com/articles/ornithology/geolocators-reveal-plain-swift-wintering-grounds/&sa=D&source=docs&ust=1726385522523473&usg=AOvVaw1sWWToCHAcfb-D_U_M2sJB
Arizelocichla tephrolaema,no,,no,,no,no,
Atlapetes melanolaemus,no,,no,,no,no,
Augastes scutatus,no,,yes,,no,yes,
Basileuterus luteoviridis,no,,no,,no,no,
Basileuterus signatus,no,,no,,no,no,
Calidris alpina,yes,"although some populations are resident year-round, the resident area is very small",no,,yes,no,
Calidris fuscicollis,yes,,no,,yes,no,
Calidris maritima,yes,"although some populations are resident year-round, the resident area is very small",no,,partially,no,In Iceland and Tromso residents other two migrant populations
Calidris mauri,yes,,no,,yes,no,
Calidris minuta,yes,,no,,yes,no,
Calidris pugnax,yes,,no,,yes,no,
Calidris pusilla,yes,,no,,yes,no,
Calidris temminckii,yes,,no,,yes,no,
Callipepla gambelii,no,,no,,no,no,
Callipepla squamata,no,,no,,no,no,
Calonectris diomedea,yes,"some populations are resident year-round, but there is seemingly directional migration from Europe to South America and Africa (and vice versa)",yes,"ocean surface feeding, can also fly under water",yes,yes,
Carduelis citrinella,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,,no,no,
Charadrius pecuarius,no,,no,,no,no,"only some populations are seemingly considered vagrants, but it is not clear if the examined population is actually vagrant, so we are considering this species non-migratory and non-vagrant"
Charadrius semipalmatus,yes,,no,,yes,no,
Chersophilus duponti,no,,no,,no,no,
Chionis minor,no,,no,,no,no,
Chlidonias hybridus,partially,some populations are resident year-round,yes,,yes,yes,
Chloris chloris,partially,some populations are resident year-round,no,,no,no,
Chroicocephalus ridibundus,partially,some populations are resident year-round,partially,aerial and non-aerial,yes,no,
Cinclus cinclus,no,"there might be some migration in populations from the extremes of the distribution, but most individiduals and populations are seemingly resident",partially,non-aerial and flying under water,no,no,
Circus aeruginosus,partially,,yes,"although some populations are resident year-round, the resident area is very small",no,yes,the study site is from one of the rare sites where this species is non-migratory
Cyanistes caeruleus,no,,no,,no,no,
Cyanistes teneriffae,no,,no,,no,no,
Cyanopica cooki,no,"the populations studied in our database correspond to the Iberian azure-winged magpies, now called Cyanopica cooki, which are resident",no,,no,no,
Cygnus atratus,no,,no,,no,no,
Cygnus columbianus,yes,,no,,yes,no,
Cygnus cygnus,yes,"although some populations might be resident year-round, the resident area is seemingly very small",no,,yes,no,
Cygnus olor,partially,some populations are resident year-round,no,,no,no,
Daption capense,partially,some populations are resident year-round,yes,"ocean surface feeding, can also fly under water",yes,yes,
Dendrocopos leucotos,no,,no,,no,no,
Dendrocopos medius,no,,no,,no,no,
Diglossopis cyanea,no,,no,,no,no,
Dromas ardeola,partially,some populations are resident year-round,no,,yes,no,
Emberiza calandra,partially,some populations are resident year-round,no,,no,no,
Emberiza citrinella,partially,some populations are resident year-round,no,,no,no,
Emberiza schoeniclus,partially,some populations are resident year-round,no,,no,no,I would delete the Population from Salrau as they are migratory birds from unknown origin
Empidonax minimus,yes,,yes,,yes,yes,
Erithacus rubecula,partially,some populations are resident year-round,no,,yes,no,
Euplectes orix,no,,no,,no,no,
Eurillas latirostris,no,"categorized as nomadic by the iucn, which we do not consider to be equivalent to migratory",no,,no,no,
Falco columbarius,yes,"although some populations are resident year-round, the resident area is very small",yes,,partially,yes,"The Swedish population is migratory, the Canadian one likely not"
Ficedula albicollis,yes,,yes,,yes,yes,
Ficedula hypoleuca,yes,,yes,,yes,yes,
Fratercula arctica,yes,,yes,flying under water,yes,yes,
Fratercula cirrhata,partially,some populations are resident year-round,yes,flying under water,yes,yes,
Fringilla coelebs,partially,some populations are resident year-round,no,,no,no,
Fulica americana,partially,some populations are resident year-round,no,"although it dives, it does not seemingly use the wings for it",yes,no,
Fulica atra,partially,some populations are resident year-round,no,"although it dives, it does not seemingly use the wings for it",yes,no,
Geospiza fortis,no,,no,,no,no,
Geospiza scandens,no,,no,,no,no,
Geothlypis trichas,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial,yes,no,
Haematopus ostralegus,yes,"although some populations are resident year-round, the resident area is very small",no,,partially,no,"Only the italian population (Rusticali et al. 2002) are migratory, in UK and NL non-migratory"
Haemorhous mexicanus,no,,no,,no,no,
Hemitriccus nidipendulus,no,,no,,no,no,
Hippolais icterina,yes,,partially,aerial and non-aerial,yes,no,
Hirundo rustica,yes,"although some populations are resident year-round, the resident area is very small",yes,,yes,yes,
Hydrobates pelagicus,yes,"although some populations are resident year-round, the resident area is very small",yes,,yes,yes,
Jacana jacana,no,there is vagrancy but not directional migration per se,no,,no,no,
Junco hyemalis,partially,some populations are resident year-round,no,,yes,no,
Lagopus lagopus,partially,,no,,no,no,"the species should be classified as partially migrant, though this is clearly less than half but more than 20% of the area, the examined population should be classified as non-migratory"
Lanius collurio,yes,,partially,,yes,no,
Lanius meridionalis,no,there does not seem to be directional migration,partially,,no,no,
Lanius senator,yes,,partially,,yes,no,
Larus atlanticus,no,there does not seem to be directional migration,partially,aerial and non-aerial,no,no,
Larus crassirostris,no,some populations are resident year-round,partially,aerial and non-aerial,no,no,
Larus michahellis,no,some populations are resident year-round,partially,aerial and non-aerial,no,no,
Leiothrix lutea,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,,no,no,
Limosa lapponica,yes,,no,,yes,no,
Limosa limosa,yes,"although some populations are resident year-round, the resident area is very small",no,,yes,no,
Linaria cannabina,partially,some populations are resident year-round,no,,no,no,
Locustella luscinioides,yes,,no,,yes,no,
Loxia curvirostra,no,,no,,no,no,
Luscinia svecica,yes,"although some populations are resident year-round, the resident area is very small",no,aerial and non-aerial,yes,no,
Macronectes halli,yes,seemingly mostly (or only) migratory,partially,ocean surface feeding and non-aerial (carrion),yes,no,
Malurus alboscapulatus,no,,no,,no,no,
Malurus leucopterus,no,,no,,no,no,
Malurus melanocephalus,no,,no,,no,no,
Marmaronetta angustirostris,partially,some populations are resident year-round,no,,no,no,
Merops apiaster,yes,"although some populations are resident year-round, the resident area is very small",yes,,yes,yes,
Milvus migrans,partially,some populations are resident year-round,yes,,yes,yes,
Mionectes striaticollis,no,,yes,,no,yes,
Nectarinia famosa,no,,partially,aerial and non-aerial,no,no,
Nectarinia johnstoni,no,,partially,aerial and non-aerial,no,no,
Oenanthe leucura,no,,partially,aerial and non-aerial,no,no,
Onychognathus nabouroup,no,,no,,no,no,
Onychoprion fuscatus,partially,some populations are resident year-round,yes,,yes,yes,
Otis tarda,partially,some populations are resident year-round,no,,no,no,
Pachyptila belcheri,partially,some populations are resident year-round,no,,yes,no,
Panurus biarmicus,no,,no,,no,no,
Parus major,no,,no,,no,no,
Passer domesticus,no,,no,,no,no,
Passer montanus,no,,no,,no,no,
Phaethon aethereus,no,there does not seem to be directional migration,yes,,vagrant,yes,
Phaethon lepturus,yes,,yes,,yes,yes,
Phaethon rubricauda,yes,,yes,,yes,yes,
Phalaropus lobatus,yes,,no,,yes,no,
Phylidonyris novaehollandiae,no,,no,,no,no,
Phylloscopus canariensis,no,,partially,aerial and non-aerial,no,no,
Phylloscopus collybita,yes,"although some populations are resident year-round, the resident area is very small",partially,aerial and non-aerial,yes,no,
Phylloscopus sibilatrix,yes,,partially,aerial and non-aerial,yes,no,
Phylloscopus trochilus,yes,,partially,aerial and non-aerial,yes,no,
Picoides pubescens,no,,no,,no,no,
Plocepasser mahali,no,,no,,no,no,
Poephila acuticauda,no,,no,,no,no,
Porphyrio porphyrio porphyrio,yes,,no,,yes,no,
Porzana porzana,yes,,no,,yes,no,
Prunella collaris,no,some populations are resident year-round,no,,no,no,Migration is only movement to lower altitudes
Prunella modularis,partially,some populations are resident year-round,no,,no,no,
Pterodroma arminjoniana,yes,,yes,ocean surface feeding,yes,yes,
Puffinus yelkouan,no,there does not seem to be directional migration,yes,ocean surface feeding,vagrant,yes,vagrant on the Mediterranean Sea during non-breeding time
Pyrrhocorax graculus,no,,no,,no,no,
Rallus aquaticus,partially,some populations are resident year-round,no,,no,no,No migration for the German population (Eilers 2012)
Rallus limicola,yes,"although some populations are resident year-round, the resident area is very small",no,,yes,no,
Rissa tridactyla,yes,"although some populations are resident year-round, the resident area is very small",yes,aerial and non-aerial,yes,yes,
Selasphorus rufus,yes,,yes,,yes,yes,
Selasphorus sasin,yes,"although some populations are resident year-round, the resident area is very small",yes,,yes,yes,
Sitta europaea,no,,no,,no,no,
Stercorarius parasiticus,yes,,yes,,yes,yes,
Stercorarius skua,yes,,partially,aerial and non-aerial,yes,yes,
Sterna hirundo,yes,long distance migrant in most of distribution,yes,,yes,yes,
Sterna paradisaea,yes,,yes,,yes,yes,
Streptopelia senegalensis,no,,no,,no,no,
Sturnus unicolor,no,,no,,no,no,
Sula dactylatra,no,there does not seem to be directional migration,yes,"plunge diving, feeding on the wing",vagrant,yes,
Sula leucogaster,no,there does not seem to be directional migration,yes,"plunge diving, feeding on the wing",vagrant,yes,
Sula nebouxii,no,"there does not seem to be directional migration, and winter and summer distributions mostly overlap",yes,"plunge diving, feeding on the wing",vagrant,yes,
Sula sula,no,"there does not seem to be directional migration, and winter and summer distributions mostly overlap",yes,"plunge diving, feeding on the wing",vagrant,yes,
Sylvia nisoria,yes,,no,,yes,no,
Tachycineta bicolor,yes,,yes,,yes,yes,
Tetrastes sewerzowi,no,,no,,no,no,
Thryothorus leucotis,no,,no,,no,no,
Thryothorus ludovicianus,no,,no,,no,no,
Troglodytes troglodytes,partially,"populations at the extreme of the distribution migrate, and this account for clearly more than 20% of the entire distribution",no,,no,no,
Turdus amaurochalinus,partially,some populations are resident year-round,no,,no,no,
Turdus merula,partially,some populations are resident year-round,no,,no,no,
Turdus philomelos,yes,"although some populations are resident year-round, the resident area is very small",no,,yes,no,
Tyrannus forficatus,yes,"although some populations are resident year-round, the resident area is very small and wintering grounds do not overlap with breeding grounds",yes,,yes,yes,
Tyrannus tyrannus,yes,,yes,,yes,yes,
Vanellus cinereus,yes,some populations are resident year-round,no,,yes,no,Vanellus cinereus should be classified as migrant as only very few populations are all year residents (in central Japan)
Vidua paradisaea,no,,no,,no,no,
Vidua regia,no,,no,,no,no,
Volatinia jacarina,no,,no,,no,no,
Yuhina brunneiceps,no,"categorized as altitude migrants by the iucn, which we do not consider to be equivalent to migratory",no,,no,no,
Zonotrichia leucophrys,partially,some populations are resident year-round,no,,no,no,
Accipiter fasciatus,no,,yes,,no,yes,
Accipiter novaehollandiae,no,,yes,,no,yes,
Branta leucopsis,yes,,no,,yes,no,
Charadrius alexandrinus,partially,,no,,partially,no,
Gallinula galeata,partially,,no,,no,no,
Podiceps grisegena,yes,,no,,yes,no,non-migratory in tiny part of distribution
